,index,source,timestamp,values,act
5022,169370,accelerometer,2017-06-29 09:57:08.406,"['-10.173126', '-1.4712372', '1.9243927']",Eat
5030,169379,accelerometer,2017-06-29 09:57:13.436,"['4.726227', '-10.251968', '0.49110413']",Eat
5048,169397,accelerometer,2017-06-29 09:57:18.583,"['-10.776581', '-0.8196564', '-0.58174133']",Eat
5067,169416,accelerometer,2017-06-29 09:57:24.129,"['-10.300018', '-1.3007812', '0.8121643']",Eat
5084,169433,accelerometer,2017-06-29 09:57:29.274,"['-8.121658', '-0.15023804', '-0.70503235']",Eat
5106,169455,accelerometer,2017-06-29 09:57:56.983,"['-8.889236', '-2.6548157', '1.4806366']",Eat
5122,169471,accelerometer,2017-06-29 09:58:02.119,"['-11.005234', '-4.2075653', '2.8181458']",Eat
5269,169618,accelerometer,2017-06-29 10:01:47.045,"['-1.155365', '-3.972824', '-8.749069']",Eat
5278,169627,accelerometer,2017-06-29 10:01:53.236,"['-9.56871', '-1.525116', '0.25108337']",Eat
5286,169635,accelerometer,2017-06-29 10:01:58.380,"['-2.9635925', '-8.123413', '-6.205353']",Eat
5297,169646,accelerometer,2017-06-29 10:02:03.526,"['-12.835358', '-1.5667725', '-0.5553894']",Eat
5312,169661,accelerometer,2017-06-29 10:02:08.675,"['-8.474442', '-2.6203308', '1.023346']",Eat
5332,169681,accelerometer,2017-06-29 10:02:15.013,"['-15.944229', '-0.61961365', '0.53240967']",Eat
5353,169702,accelerometer,2017-06-29 10:02:21.733,"['-7.424942', '1.2439117', '-1.3614044']",Eat
5368,169717,accelerometer,2017-06-29 10:02:26.876,"['-13.547516', '-0.016036987', '-2.925064']",Eat
5384,169733,accelerometer,2017-06-29 10:02:32.025,"['-14.542664', '-0.67588806', '-0.99508667']",Eat
5403,169752,accelerometer,2017-06-29 10:02:37.170,"['-12.223404', '-4.1013947', '1.8027649']",Eat
5421,169770,accelerometer,2017-06-29 10:02:42.313,"['-9.65741', '-3.9102173', '3.3583984']",Eat
5433,169782,accelerometer,2017-06-29 10:02:58.346,"['-13.737137', '-4.201706', '3.8590393']",Eat
5454,169803,accelerometer,2017-06-29 10:03:03.488,"['-9.967102', '-3.4532776', '2.1968536']",Eat
5483,169832,accelerometer,2017-06-29 10:03:58.515,"['-10.598221', '-0.073150635', '-1.2727051']",Eat
5499,169848,accelerometer,2017-06-29 10:04:58.874,"['2.579712', '-6.2763977', '1.7456665']",Eat
5525,169874,accelerometer,2017-06-29 10:05:58.461,"['-9.325104', '-1.1963959', '0.6692352']",Eat
5542,169891,accelerometer,2017-06-29 10:06:28.512,"['-13.581757', '-0.75860596', '-0.09906006']",Eat
5555,169904,accelerometer,2017-06-29 10:06:33.651,"['-12.874863', '-3.514923', '2.3156128']",Eat
5574,169923,accelerometer,2017-06-29 10:06:40.583,"['-13.661591', '-2.9860535', '0.8969269']",Eat
5590,169939,accelerometer,2017-06-29 10:06:46.916,"['-7.143738', '1.7500458', '-1.2935333']",Eat
5610,169959,accelerometer,2017-06-29 10:06:58.793,"['-13.990448', '-2.1070251', '0.7067108']",Eat
5637,169986,accelerometer,2017-06-29 10:07:59.346,"['-12.798126', '-1.3812256', '0.6539154']",Eat
5699,170048,accelerometer,2017-06-29 10:09:58.384,"['-13.273254', '-1.3406372', '-0.7472992']",Eat
5718,170066,accelerometer,2017-06-29 10:10:13.971,"['-7.4557037', '0.7497406', '-1.3822327']",Eat
5738,170087,accelerometer,2017-06-29 10:10:19.102,"['-10.483658', '0.005508423', '-0.23170471']",Eat
