HR, SC, WF, BT, STATE, ACT
0,0,-73,-54,passive,eat
0,0,-76,-39,passive,eat
0,0,-73,-27,passive,eat
0,0,-71,-27,passive,eat
0,0,-73,-27,passive,eat
0,0,-70,-31,passive,eat
0,0,-70,-31,passive,eat
0,0,-71,-31,passive,eat
0,0,-76,-32,passive,eat
0,0,-64,-32,passive,eat
0,0,-65,-32,passive,eat
0,0,-70,-38,passive,eat
0,0,-70,-38,passive,eat
0,0,-71,-38,passive,eat
0,0,-71,-39,passive,eat
0,0,-71,-39,passive,eat
0,0,-71,-39,passive,eat
0,0,-71,-28,passive,eat
0,0,-71,-28,passive,eat
0,0,-71,-28,passive,eat
0,0,-71,-31,passive,eat
0,0,-71,-31,passive,eat
0,0,-71,-31,passive,eat
0,0,-71,-31,passive,eat
0,0,-71,-31,passive,eat
0,0,-71,-31,passive,eat
0,0,-71,-12,passive,eat
0,0,-71,-12,passive,eat
75,0,-71,-12,passive,eat
75,0,-71,-26,passive,eat
75,0,-71,-26,passive,eat
75,0,-71,-26,passive,eat
75,0,-71,-26,passive,eat
75,0,-71,-37,passive,eat
73,0,-71,-37,passive,eat
72,0,-71,-37,passive,eat
71,0,-71,-30,passive,eat
71,0,-71,-30,passive,eat
71,0,-71,-30,passive,eat
72,0,-71,-15,passive,eat
73,0,-71,-15,passive,eat
74,0,-71,-15,passive,eat
74,0,-71,-32,passive,eat
74,0,-71,-32,passive,eat
74,0,-71,-32,passive,eat
74,0,-71,-36,passive,eat
74,0,-71,-36,passive,eat
74,0,-71,-37,passive,eat
74,0,-71,-37,passive,eat
74,0,-71,-37,passive,eat
74,0,-71,-37,passive,eat
74,0,-71,-37,passive,eat
74,0,-71,-37,passive,eat
74,0,-71,-36,passive,eat
74,0,-71,-36,passive,eat
74,0,-71,-36,passive,eat
74,0,-71,-39,passive,eat
74,0,-71,-39,passive,eat
74,0,-71,-39,passive,eat
74,0,-71,-36,passive,eat
74,0,-71,-40,passive,eat
74,0,-71,-40,passive,eat
74,0,-71,-40,passive,eat
74,0,-71,-40,passive,eat
74,0,-71,-40,passive,eat
74,0,-71,-34,passive,eat
74,0,-71,-34,passive,eat
74,0,-71,-34,passive,eat
74,0,-71,-38,passive,eat
74,0,-71,-38,passive,eat
74,0,-71,-38,passive,eat
74,0,-71,-40,passive,eat
74,0,-71,-40,passive,eat
74,0,-71,-40,passive,eat
74,0,-71,-37,passive,eat
74,0,-71,-37,passive,eat
74,0,-71,-37,passive,eat
74,0,-71,-38,passive,eat
74,0,-71,-38,passive,eat
74,0,-71,-38,passive,eat
74,0,-71,-35,passive,eat
74,0,-71,-35,passive,eat
74,0,-71,-35,passive,eat
74,0,-71,-38,passive,eat
74,0,-71,-38,passive,eat
74,0,-71,-38,passive,eat
74,0,-71,-35,passive,eat
102,0,-71,-35,passive,eat
102,0,-71,-35,passive,eat
